seq,name,n,cpu_ms,gpu_ms,kind
391,RETURN_DATA_INVERSES#391,673,0.000,7.000,cpu-wins
392,Z_PERM#392,43314,53.000,42.000,gpu-wins
393,MERGED_TABLE_0#393,8192,1.000,17.000,cpu-wins
394,MERGED_TABLE_1#394,8192,3.000,16.000,cpu-wins
395,MERGED_TABLE_2#395,8192,4.000,14.000,cpu-wins
396,MERGED_TABLE_3#396,8192,4.000,13.000,cpu-wins
397,REVERSED_BATCHED_LEFT_TABLES#397,7520,6.000,18.000,cpu-wins
398,SHPLONK_BATCHED_QUOTIENT#398,8192,20.000,15.000,gpu-wins
399,?#399,8192,19.000,19.000,cpu-wins
400,TRANSLATOR_GEMINI_MASKING_POLY#400,131072,131.000,75.000,gpu-wins
401,CONCATENATED_RANGE_CONSTRAINTS_0#401,131071,7.000,34.000,cpu-wins
402,CONCATENATED_RANGE_CONSTRAINTS_1#402,131071,7.000,29.000,cpu-wins
403,CONCATENATED_RANGE_CONSTRAINTS_2#403,131071,9.000,30.000,cpu-wins
404,CONCATENATED_RANGE_CONSTRAINTS_3#404,131071,9.000,33.000,cpu-wins
405,CONCATENATED_NON_RANGE#405,131071,19.000,29.000,cpu-wins
406,ORDERED_RANGE_CONSTRAINTS_0#406,131071,7.000,33.000,cpu-wins
407,ORDERED_RANGE_CONSTRAINTS_1#407,131071,8.000,29.000,cpu-wins
408,ORDERED_RANGE_CONSTRAINTS_2#408,131071,10.000,35.000,cpu-wins
409,ORDERED_RANGE_CONSTRAINTS_3#409,131071,9.000,32.000,cpu-wins
410,ORDERED_RANGE_CONSTRAINTS_4#410,131071,5.000,25.000,cpu-wins
411,Z_PERM#411,131071,138.000,48.000,gpu-wins
412,LIBRA_CONCATENATION#412,258,3.000,13.000,cpu-wins
413,?#413,9,1.000,15.000,cpu-wins
414,?#414,9,1.000,13.000,cpu-wins
415,?#415,9,1.000,19.000,cpu-wins
416,?#416,9,1.000,16.000,cpu-wins
417,?#417,9,1.000,9.000,cpu-wins
418,?#418,9,1.000,18.000,cpu-wins
419,?#419,9,1.000,16.000,cpu-wins
420,?#420,9,1.000,14.000,cpu-wins
421,?#421,9,1.000,16.000,cpu-wins
422,?#422,9,1.000,20.000,cpu-wins
423,?#423,9,1.000,23.000,cpu-wins
424,?#424,9,1.000,24.000,cpu-wins
425,?#425,9,0.000,29.000,cpu-wins
426,?#426,9,0.000,25.000,cpu-wins
427,?#427,9,0.000,13.000,cpu-wins
428,?#428,9,0.000,13.000,cpu-wins
429,?#429,9,0.000,14.000,cpu-wins
430,Libra:GRAND_SUM#430,259,2.000,14.000,cpu-wins
431,Libra:GRAND_SUM_QUOTIENT#431,258,4.000,10.000,cpu-wins
432,Gemini:FOLD_1#432,65536,65.000,47.000,gpu-wins
433,Gemini:FOLD_2#433,32768,44.000,32.000,gpu-wins
434,Gemini:FOLD_3#434,16384,27.000,28.000,cpu-wins
435,Gemini:FOLD_4#435,8192,19.000,20.000,cpu-wins
436,Gemini:FOLD_5#436,4096,14.000,17.000,cpu-wins
437,Gemini:FOLD_6#437,2048,10.000,18.000,cpu-wins
438,Gemini:FOLD_7#438,1024,6.000,16.000,cpu-wins
439,Gemini:FOLD_8#439,512,10.000,14.000,cpu-wins
440,Gemini:FOLD_9#440,256,2.000,13.000,cpu-wins
441,Gemini:FOLD_10#441,128,2.000,14.000,cpu-wins
442,Gemini:FOLD_11#442,64,1.000,17.000,cpu-wins
443,Gemini:FOLD_12#443,32,1.000,17.000,cpu-wins
444,Gemini:FOLD_13#444,16,0.000,19.000,cpu-wins
445,Gemini:FOLD_14#445,8,1.000,18.000,cpu-wins
446,Gemini:FOLD_15#446,4,0.000,16.000,cpu-wins
447,Gemini:FOLD_16#447,2,1.000,19.000,cpu-wins
448,SHPLONK_BATCHED_QUOTIENT#448,131072,127.000,68.000,gpu-wins
449,?#449,131072,131.000,54.000,gpu-wins
450,?#450,16,0.000,0.000,gpu-missing
451,?#451,118,1.000,0.000,gpu-missing
452,VK_PRECOMPUTED_POLY#452,43315,20.000,21.000,cpu-wins
